,test_path,labels,pred,label_score,pred_score
491,./test/normal/India_008380.jpg,normal,rusak,0,1
1606,./test/rusak/China_MotorBike_000892.jpg,rusak,rusak,1,1
2288,./test/rusak/Japan_000393.jpg,rusak,rusak,1,1
2501,./test/rusak/Japan_003603.jpg,rusak,rusak,1,1
1270,./test/rusak/China_Drone_000054.jpg,rusak,rusak,1,1
217,./test/normal/India_001429.jpg,normal,rusak,0,1
2038,./test/rusak/India_004227.jpg,rusak,rusak,1,1
1917,./test/rusak/India_001198.jpg,rusak,rusak,1,1
1832,./test/rusak/D_21860.jpeg,rusak,rusak,1,1
2992,./test/rusak/Japan_010341.jpg,rusak,rusak,1,1
2027,./test/rusak/India_003969.jpg,rusak,rusak,1,1
543,./test/normal/India_009459.jpg,normal,rusak,0,1
2821,./test/rusak/Japan_008291.jpg,rusak,rusak,1,1
4018,./test/rusak/United_States_004305.jpg,rusak,rusak,1,1
2713,./test/rusak/Japan_006705.jpg,rusak,rusak,1,1
189,./test/normal/India_000423.jpg,normal,rusak,0,1
2810,./test/rusak/Japan_008087.jpg,rusak,rusak,1,1
3899,./test/rusak/United_States_003163.jpg,rusak,rusak,1,1
3592,./test/rusak/United_States_000031.jpg,rusak,rusak,1,1
4016,./test/rusak/United_States_004286.jpg,rusak,rusak,1,1
3081,./test/rusak/Japan_011701.jpg,rusak,rusak,1,1
3368,./test/rusak/Norway_004114.jpg,rusak,normal,1,0
3319,./test/rusak/Norway_002624.jpg,rusak,normal,1,0
3940,./test/rusak/United_States_003608.jpg,rusak,rusak,1,1
2573,./test/rusak/Japan_004629.jpg,rusak,rusak,1,1
1697,./test/rusak/China_MotorBike_001774.jpg,rusak,rusak,1,1
1347,./test/rusak/China_Drone_000775.jpg,rusak,rusak,1,1
3263,./test/rusak/Norway_001034.jpg,rusak,normal,1,0
2411,./test/rusak/Japan_002274.jpg,rusak,rusak,1,1
538,./test/normal/India_009383.jpg,normal,normal,0,0
3274,./test/rusak/Norway_001347.jpg,rusak,normal,1,0
2198,./test/rusak/India_008546.jpg,rusak,normal,1,0
666,./test/normal/Norway_000387.jpg,normal,normal,0,0
2972,./test/rusak/Japan_010147.jpg,rusak,rusak,1,1
3256,./test/rusak/Norway_000819.jpg,rusak,rusak,1,1
3385,./test/rusak/Norway_004524.jpg,rusak,normal,1,0
1928,./test/rusak/India_001451.jpg,rusak,rusak,1,1
2724,./test/rusak/Japan_006885.jpg,rusak,rusak,1,1
1237,./test/rusak/BF_130.jpeg,rusak,rusak,1,1
3135,./test/rusak/Japan_012550.jpg,rusak,rusak,1,1
3631,./test/rusak/United_States_000407.jpg,rusak,rusak,1,1
1666,./test/rusak/China_MotorBike_001450.jpg,rusak,rusak,1,1
1491,./test/rusak/China_Drone_002192.jpg,rusak,rusak,1,1
3634,./test/rusak/United_States_000435.jpg,rusak,rusak,1,1
2482,./test/rusak/Japan_003315.jpg,rusak,rusak,1,1
2379,./test/rusak/Japan_001730.jpg,rusak,rusak,1,1
2012,./test/rusak/India_003733.jpg,rusak,rusak,1,1
2100,./test/rusak/India_005755.jpg,rusak,rusak,1,1
3350,./test/rusak/Norway_003682.jpg,rusak,rusak,1,1
1357,./test/rusak/China_Drone_000854.jpg,rusak,rusak,1,1
2774,./test/rusak/Japan_007526.jpg,rusak,rusak,1,1
2278,./test/rusak/Japan_000202.jpg,rusak,rusak,1,1
2530,./test/rusak/Japan_004026.jpg,rusak,rusak,1,1
1411,./test/rusak/China_Drone_001378.jpg,rusak,rusak,1,1
3855,./test/rusak/United_States_002724.jpg,rusak,rusak,1,1
2717,./test/rusak/Japan_006772.jpg,rusak,rusak,1,1
2847,./test/rusak/Japan_008627.jpg,rusak,rusak,1,1
1292,./test/rusak/China_Drone_000281.jpg,rusak,rusak,1,1
3724,./test/rusak/United_States_001356.jpg,rusak,rusak,1,1
142,./test/normal/Czech_002974.jpg,normal,normal,0,0
2175,./test/rusak/India_007998.jpg,rusak,rusak,1,1
3775,./test/rusak/United_States_001875.jpg,rusak,rusak,1,1
3278,./test/rusak/Norway_001512.jpg,rusak,rusak,1,1
304,./test/normal/India_003639.jpg,normal,rusak,0,1
2784,./test/rusak/Japan_007734.jpg,rusak,rusak,1,1
1774,./test/rusak/Czech_002374.jpg,rusak,normal,1,0
3010,./test/rusak/Japan_010645.jpg,rusak,rusak,1,1
3957,./test/rusak/United_States_003817.jpg,rusak,rusak,1,1
3792,./test/rusak/United_States_001996.jpg,rusak,rusak,1,1
704,./test/normal/Norway_001037.jpg,normal,rusak,0,1
1474,./test/rusak/China_Drone_001971.jpg,rusak,rusak,1,1
4031,./test/rusak/United_States_004421.jpg,rusak,rusak,1,1
3308,./test/rusak/Norway_002146.jpg,rusak,rusak,1,1
1185,./test/rusak/AC_31440.jpeg,rusak,rusak,1,1
1326,./test/rusak/China_Drone_000592.jpg,rusak,rusak,1,1
3047,./test/rusak/Japan_011276.jpg,rusak,rusak,1,1
1300,./test/rusak/China_Drone_000343.jpg,rusak,rusak,1,1
3590,./test/rusak/United_States_000026.jpg,rusak,rusak,1,1
410,./test/normal/India_006176.jpg,normal,normal,0,0
3876,./test/rusak/United_States_002922.jpg,rusak,rusak,1,1
2226,./test/rusak/India_009027.jpg,rusak,rusak,1,1
520,./test/normal/India_008898.jpg,normal,rusak,0,1
1128,./test/normal/Norway_007271.jpg,normal,rusak,0,1
1002,./test/normal/Norway_005705.jpg,normal,normal,0,0
977,./test/normal/Norway_005352.jpg,normal,normal,0,0
4137,./test/rusak/Y_31330.jpeg,rusak,rusak,1,1
2031,./test/rusak/India_004028.jpg,rusak,normal,1,0
841,./test/normal/Norway_003297.jpg,normal,normal,0,0
4065,./test/rusak/United_States_004735.jpg,rusak,rusak,1,1
4105,./test/rusak/X_25760.jpeg,rusak,rusak,1,1
3997,./test/rusak/United_States_004141.jpg,rusak,rusak,1,1
2592,./test/rusak/Japan_004793.jpg,rusak,rusak,1,1
3569,./test/rusak/Q_11950.jpeg,rusak,rusak,1,1
42,./test/normal/Czech_000940.jpg,normal,rusak,0,1
2526,./test/rusak/Japan_003965.jpg,rusak,rusak,1,1
891,./test/normal/Norway_003923.jpg,normal,normal,0,0
2445,./test/rusak/Japan_002776.jpg,rusak,rusak,1,1
2626,./test/rusak/Japan_005269.jpg,rusak,rusak,1,1
3736,./test/rusak/United_States_001501.jpg,rusak,rusak,1,1
2399,./test/rusak/Japan_002111.jpg,rusak,rusak,1,1
1875,./test/rusak/India_000128.jpg,rusak,rusak,1,1
1021,./test/normal/Norway_005878.jpg,normal,rusak,0,1
982,./test/normal/Norway_005461.jpg,normal,normal,0,0
2466,./test/rusak/Japan_003111.jpg,rusak,rusak,1,1
70,./test/normal/Czech_001358.jpg,normal,normal,0,0
1065,./test/normal/Norway_006422.jpg,normal,rusak,0,1
965,./test/normal/Norway_005107.jpg,normal,rusak,0,1
2331,./test/rusak/Japan_000990.jpg,rusak,rusak,1,1
1726,./test/rusak/Czech_000646.jpg,rusak,normal,1,0
918,./test/normal/Norway_004317.jpg,normal,normal,0,0
949,./test/normal/Norway_004808.jpg,normal,rusak,0,1
2866,./test/rusak/Japan_008824.jpg,rusak,rusak,1,1
2111,./test/rusak/India_005996.jpg,rusak,rusak,1,1
1790,./test/rusak/Czech_002662.jpg,rusak,rusak,1,1
192,./test/normal/India_000540.jpg,normal,rusak,0,1
2281,./test/rusak/Japan_000254.jpg,rusak,rusak,1,1
326,./test/normal/India_004269.jpg,normal,rusak,0,1
3713,./test/rusak/United_States_001251.jpg,rusak,rusak,1,1
88,./test/normal/Czech_001797.jpg,normal,normal,0,0
896,./test/normal/Norway_003984.jpg,normal,normal,0,0
536,./test/normal/India_009352.jpg,normal,normal,0,0
148,./test/normal/Czech_003074.jpg,normal,normal,0,0
31,./test/normal/Czech_000767.jpg,normal,rusak,0,1
1129,./test/normal/Norway_007290.jpg,normal,normal,0,0
1813,./test/rusak/Czech_003396.jpg,rusak,normal,1,0
3470,./test/rusak/Norway_006986.jpg,rusak,normal,1,0
1947,./test/rusak/India_001963.jpg,rusak,rusak,1,1
1662,./test/rusak/China_MotorBike_001383.jpg,rusak,rusak,1,1
3619,./test/rusak/United_States_000315.jpg,rusak,rusak,1,1
2272,./test/rusak/Japan_000150.jpg,rusak,rusak,1,1
3342,./test/rusak/Norway_003439.jpg,rusak,normal,1,0
4026,./test/rusak/United_States_004385.jpg,rusak,rusak,1,1
2553,./test/rusak/Japan_004367.jpg,rusak,rusak,1,1
4130,./test/rusak/Y_30300.jpeg,rusak,rusak,1,1
2708,./test/rusak/Japan_006612.jpg,rusak,rusak,1,1
1643,./test/rusak/China_MotorBike_001224.jpg,rusak,rusak,1,1
1646,./test/rusak/China_MotorBike_001268.jpg,rusak,rusak,1,1
1778,./test/rusak/Czech_002428.jpg,rusak,normal,1,0
3138,./test/rusak/Japan_012595.jpg,rusak,rusak,1,1
578,./test/normal/Japan_002639.jpg,normal,rusak,0,1
378,./test/normal/India_005303.jpg,normal,rusak,0,1
2318,./test/rusak/Japan_000767.jpg,rusak,rusak,1,1
2529,./test/rusak/Japan_004024.jpg,rusak,rusak,1,1
768,./test/normal/Norway_002179.jpg,normal,normal,0,0
1236,./test/rusak/BE_4950.jpeg,rusak,rusak,1,1
3485,./test/rusak/Norway_007197.jpg,rusak,rusak,1,1
1242,./test/rusak/BH_8550.jpeg,rusak,rusak,1,1
735,./test/normal/Norway_001553.jpg,normal,normal,0,0
185,./test/normal/India_000332.jpg,normal,normal,0,0
2575,./test/rusak/Japan_004651.jpg,rusak,rusak,1,1
465,./test/normal/India_007759.jpg,normal,rusak,0,1
3769,./test/rusak/United_States_001848.jpg,rusak,rusak,1,1
2493,./test/rusak/Japan_003525.jpg,rusak,rusak,1,1
3501,./test/rusak/Norway_007524.jpg,rusak,rusak,1,1
2795,./test/rusak/Japan_007904.jpg,rusak,rusak,1,1
33,./test/normal/Czech_000795.jpg,normal,normal,0,0
4162,./test/rusak/Y_47360.jpeg,rusak,rusak,1,1
576,./test/normal/Japan_001942.jpg,normal,rusak,0,1
751,./test/normal/Norway_001745.jpg,normal,normal,0,0
3296,./test/rusak/Norway_001919.jpg,rusak,rusak,1,1
1042,./test/normal/Norway_006127.jpg,normal,normal,0,0
1478,./test/rusak/China_Drone_001994.jpg,rusak,rusak,1,1
599,./test/normal/Japan_007627.jpg,normal,rusak,0,1
3550,./test/rusak/P_31930.jpeg,rusak,rusak,1,1
408,./test/normal/India_006116.jpg,normal,rusak,0,1
690,./test/normal/Norway_000872.jpg,normal,normal,0,0
905,./test/normal/Norway_004121.jpg,normal,normal,0,0
979,./test/normal/Norway_005398.jpg,normal,rusak,0,1
716,./test/normal/Norway_001156.jpg,normal,normal,0,0
3537,./test/rusak/P_25910.jpeg,rusak,normal,1,0
2583,./test/rusak/Japan_004724.jpg,rusak,rusak,1,1
651,./test/normal/Norway_000208.jpg,normal,normal,0,0
1746,./test/rusak/Czech_001377.jpg,rusak,normal,1,0
1713,./test/rusak/China_MotorBike_001964.jpg,rusak,rusak,1,1
3036,./test/rusak/Japan_011106.jpg,rusak,rusak,1,1
2986,./test/rusak/Japan_010276.jpg,rusak,rusak,1,1
214,./test/normal/India_001352.jpg,normal,rusak,0,1
514,./test/normal/India_008824.jpg,normal,normal,0,0
4005,./test/rusak/United_States_004203.jpg,rusak,rusak,1,1
1012,./test/normal/Norway_005773.jpg,normal,rusak,0,1
3978,./test/rusak/United_States_003959.jpg,rusak,rusak,1,1
3546,./test/rusak/P_30630.jpeg,rusak,rusak,1,1
727,./test/normal/Norway_001388.jpg,normal,normal,0,0
1559,./test/rusak/China_MotorBike_000423.jpg,rusak,rusak,1,1
2475,./test/rusak/Japan_003268.jpg,rusak,rusak,1,1
2645,./test/rusak/Japan_005576.jpg,rusak,rusak,1,1
546,./test/normal/India_009591.jpg,normal,rusak,0,1
1503,./test/rusak/China_Drone_002311.jpg,rusak,rusak,1,1
3001,./test/rusak/Japan_010477.jpg,rusak,rusak,1,1
3861,./test/rusak/United_States_002803.jpg,rusak,rusak,1,1
381,./test/normal/India_005504.jpg,normal,rusak,0,1
1288,./test/rusak/China_Drone_000249.jpg,rusak,rusak,1,1
1487,./test/rusak/China_Drone_002144.jpg,rusak,rusak,1,1
3959,./test/rusak/United_States_003829.jpg,rusak,rusak,1,1
3295,./test/rusak/Norway_001854.jpg,rusak,normal,1,0
638,./test/normal/Norway_000065.jpg,normal,rusak,0,1
3778,./test/rusak/United_States_001899.jpg,rusak,rusak,1,1
1547,./test/rusak/China_MotorBike_000296.jpg,rusak,rusak,1,1
1,./test/normal/China_Drone_000256.jpg,normal,rusak,0,1
2480,./test/rusak/Japan_003307.jpg,rusak,rusak,1,1
3392,./test/rusak/Norway_004742.jpg,rusak,rusak,1,1
311,./test/normal/India_003793.jpg,normal,rusak,0,1
2066,./test/rusak/India_004938.jpg,rusak,normal,1,0
2622,./test/rusak/Japan_005225.jpg,rusak,rusak,1,1
3915,./test/rusak/United_States_003363.jpg,rusak,rusak,1,1
2095,./test/rusak/India_005580.jpg,rusak,normal,1,0
2287,./test/rusak/Japan_000385.jpg,rusak,rusak,1,1
3183,./test/rusak/Japan_013112.jpg,rusak,rusak,1,1
223,./test/normal/India_001521.jpg,normal,normal,0,0
483,./test/normal/India_008216.jpg,normal,normal,0,0
3749,./test/rusak/United_States_001631.jpg,rusak,rusak,1,1
4128,./test/rusak/Y_29040.jpeg,rusak,rusak,1,1
1950,./test/rusak/India_002066.jpg,rusak,normal,1,0
1334,./test/rusak/China_Drone_000666.jpg,rusak,rusak,1,1
3286,./test/rusak/Norway_001726.jpg,rusak,normal,1,0
496,./test/normal/India_008474.jpg,normal,rusak,0,1
2436,./test/rusak/Japan_002638.jpg,rusak,rusak,1,1
3528,./test/rusak/O_10220.jpeg,rusak,rusak,1,1
917,./test/normal/Norway_004217.jpg,normal,normal,0,0
4046,./test/rusak/United_States_004571.jpg,rusak,rusak,1,1
1525,./test/rusak/China_MotorBike_000124.jpg,rusak,rusak,1,1
1267,./test/rusak/China_Drone_000016.jpg,rusak,rusak,1,1
1150,./test/normal/Norway_007705.jpg,normal,rusak,0,1
3515,./test/rusak/Norway_007797.jpg,rusak,rusak,1,1
1997,./test/rusak/India_003359.jpg,rusak,rusak,1,1
2887,./test/rusak/Japan_009104.jpg,rusak,rusak,1,1
2574,./test/rusak/Japan_004643.jpg,rusak,rusak,1,1
1712,./test/rusak/China_MotorBike_001961.jpg,rusak,rusak,1,1
2844,./test/rusak/Japan_008590.jpg,rusak,rusak,1,1
1432,./test/rusak/China_Drone_001550.jpg,rusak,rusak,1,1
3105,./test/rusak/Japan_012115.jpg,rusak,rusak,1,1
1760,./test/rusak/Czech_001912.jpg,rusak,normal,1,0
1766,./test/rusak/Czech_002176.jpg,rusak,normal,1,0
224,./test/normal/India_001569.jpg,normal,rusak,0,1
1865,./test/rusak/H_3210.jpeg,rusak,rusak,1,1
302,./test/normal/India_003578.jpg,normal,normal,0,0
2872,./test/rusak/Japan_008949.jpg,rusak,rusak,1,1
3645,./test/rusak/United_States_000562.jpg,rusak,rusak,1,1
2485,./test/rusak/Japan_003363.jpg,rusak,rusak,1,1
3142,./test/rusak/Japan_012638.jpg,rusak,rusak,1,1
3478,./test/rusak/Norway_007094.jpg,rusak,rusak,1,1
3714,./test/rusak/United_States_001274.jpg,rusak,rusak,1,1
85,./test/normal/Czech_001738.jpg,normal,normal,0,0
2968,./test/rusak/Japan_010106.jpg,rusak,rusak,1,1
1867,./test/rusak/H_4550.jpeg,rusak,rusak,1,1
1115,./test/normal/Norway_007131.jpg,normal,rusak,0,1
898,./test/normal/Norway_004010.jpg,normal,normal,0,0
836,./test/normal/Norway_003248.jpg,normal,rusak,0,1
117,./test/normal/Czech_002445.jpg,normal,normal,0,0
2678,./test/rusak/Japan_006072.jpg,rusak,rusak,1,1
2406,./test/rusak/Japan_002222.jpg,rusak,rusak,1,1
3540,./test/rusak/P_26170.jpeg,rusak,rusak,1,1
2432,./test/rusak/Japan_002606.jpg,rusak,rusak,1,1
1284,./test/rusak/China_Drone_000204.jpg,rusak,rusak,1,1
2840,./test/rusak/Japan_008528.jpg,rusak,rusak,1,1
2838,./test/rusak/Japan_008504.jpg,rusak,rusak,1,1
1327,./test/rusak/China_Drone_000599.jpg,rusak,rusak,1,1
2240,./test/rusak/India_009268.jpg,rusak,normal,1,0
615,./test/normal/Japan_010216.jpg,normal,rusak,0,1
1625,./test/rusak/China_MotorBike_001041.jpg,rusak,rusak,1,1
3268,./test/rusak/Norway_001123.jpg,rusak,rusak,1,1
530,./test/normal/India_009160.jpg,normal,rusak,0,1
962,./test/normal/Norway_005036.jpg,normal,normal,0,0
3643,./test/rusak/United_States_000518.jpg,rusak,rusak,1,1
2067,./test/rusak/India_004949.jpg,rusak,rusak,1,1
1564,./test/rusak/China_MotorBike_000451.jpg,rusak,rusak,1,1
453,./test/normal/India_007216.jpg,normal,normal,0,0
3689,./test/rusak/United_States_000948.jpg,rusak,rusak,1,1
3479,./test/rusak/Norway_007101.jpg,rusak,normal,1,0
3618,./test/rusak/United_States_000312.jpg,rusak,rusak,1,1
4002,./test/rusak/United_States_004189.jpg,rusak,rusak,1,1
3213,./test/rusak/L_7550.jpeg,rusak,rusak,1,1
4057,./test/rusak/United_States_004650.jpg,rusak,rusak,1,1
2632,./test/rusak/Japan_005343.jpg,rusak,rusak,1,1
2231,./test/rusak/India_009080.jpg,rusak,normal,1,0
883,./test/normal/Norway_003866.jpg,normal,normal,0,0
1895,./test/rusak/India_000652.jpg,rusak,rusak,1,1
3909,./test/rusak/United_States_003325.jpg,rusak,rusak,1,1
1888,./test/rusak/India_000522.jpg,rusak,rusak,1,1
712,./test/normal/Norway_001111.jpg,normal,normal,0,0
298,./test/normal/India_003493.jpg,normal,rusak,0,1
2780,./test/rusak/Japan_007678.jpg,rusak,rusak,1,1
3366,./test/rusak/Norway_004032.jpg,rusak,normal,1,0
3111,./test/rusak/Japan_012245.jpg,rusak,rusak,1,1
1119,./test/normal/Norway_007155.jpg,normal,rusak,0,1
3055,./test/rusak/Japan_011359.jpg,rusak,rusak,1,1
526,./test/normal/India_009020.jpg,normal,rusak,0,1
3694,./test/rusak/United_States_001012.jpg,rusak,rusak,1,1
499,./test/normal/India_008525.jpg,normal,normal,0,0
2490,./test/rusak/Japan_003479.jpg,rusak,rusak,1,1
3539,./test/rusak/P_26160.jpeg,rusak,rusak,1,1
1754,./test/rusak/Czech_001648.jpg,rusak,normal,1,0
3832,./test/rusak/United_States_002516.jpg,rusak,rusak,1,1
2036,./test/rusak/India_004199.jpg,rusak,rusak,1,1
2420,./test/rusak/Japan_002414.jpg,rusak,rusak,1,1
1490,./test/rusak/China_Drone_002191.jpg,rusak,rusak,1,1
3555,./test/rusak/P_360.jpeg,rusak,rusak,1,1
3719,./test/rusak/United_States_001298.jpg,rusak,rusak,1,1
3815,./test/rusak/United_States_002317.jpg,rusak,rusak,1,1
840,./test/normal/Norway_003289.jpg,normal,normal,0,0
629,./test/normal/Japan_012045.jpg,normal,rusak,0,1
202,./test/normal/India_000956.jpg,normal,rusak,0,1
569,./test/normal/Japan_001072.jpg,normal,rusak,0,1
1059,./test/normal/Norway_006310.jpg,normal,rusak,0,1
3493,./test/rusak/Norway_007364.jpg,rusak,rusak,1,1
1715,./test/rusak/Czech_000010.jpg,rusak,normal,1,0
1887,./test/rusak/India_000478.jpg,rusak,rusak,1,1
527,./test/normal/India_009040.jpg,normal,rusak,0,1
683,./test/normal/Norway_000754.jpg,normal,rusak,0,1
545,./test/normal/India_009580.jpg,normal,rusak,0,1
57,./test/normal/Czech_001150.jpg,normal,normal,0,0
2048,./test/rusak/India_004480.jpg,rusak,rusak,1,1
248,./test/normal/India_002288.jpg,normal,rusak,0,1
170,./test/normal/India_000002.jpg,normal,rusak,0,1
2327,./test/rusak/Japan_000896.jpg,rusak,rusak,1,1
567,./test/normal/Japan_000652.jpg,normal,rusak,0,1
641,./test/normal/Norway_000095.jpg,normal,normal,0,0
1240,./test/rusak/BH_17320.jpeg,rusak,rusak,1,1
4032,./test/rusak/United_States_004426.jpg,rusak,rusak,1,1
678,./test/normal/Norway_000662.jpg,normal,rusak,0,1
1420,./test/rusak/China_Drone_001438.jpg,rusak,rusak,1,1
2706,./test/rusak/Japan_006562.jpg,rusak,rusak,1,1
1553,./test/rusak/China_MotorBike_000370.jpg,rusak,rusak,1,1
2044,./test/rusak/India_004410.jpg,rusak,normal,1,0
825,./test/normal/Norway_003106.jpg,normal,rusak,0,1
2369,./test/rusak/Japan_001598.jpg,rusak,rusak,1,1
2796,./test/rusak/Japan_007911.jpg,rusak,rusak,1,1
2606,./test/rusak/Japan_004966.jpg,rusak,rusak,1,1
1651,./test/rusak/China_MotorBike_001315.jpg,rusak,rusak,1,1
895,./test/normal/Norway_003973.jpg,normal,normal,0,0
3677,./test/rusak/United_States_000772.jpg,rusak,rusak,1,1
1940,./test/rusak/India_001704.jpg,rusak,rusak,1,1
706,./test/normal/Norway_001068.jpg,normal,normal,0,0
748,./test/normal/Norway_001687.jpg,normal,rusak,0,1
3868,./test/rusak/United_States_002845.jpg,rusak,rusak,1,1
3276,./test/rusak/Norway_001497.jpg,rusak,rusak,1,1
1739,./test/rusak/Czech_000921.jpg,rusak,normal,1,0
104,./test/normal/Czech_002197.jpg,normal,normal,0,0
34,./test/normal/Czech_000806.jpg,normal,rusak,0,1
2521,./test/rusak/Japan_003930.jpg,rusak,rusak,1,1
961,./test/normal/Norway_005033.jpg,normal,normal,0,0
1943,./test/rusak/India_001783.jpg,rusak,rusak,1,1
1621,./test/rusak/China_MotorBike_000990.jpg,rusak,rusak,1,1
481,./test/normal/India_008145.jpg,normal,rusak,0,1
1290,./test/rusak/China_Drone_000260.jpg,rusak,rusak,1,1
685,./test/normal/Norway_000784.jpg,normal,normal,0,0
3673,./test/rusak/United_States_000725.jpg,rusak,rusak,1,1
3034,./test/rusak/Japan_011088.jpg,rusak,rusak,1,1
3962,./test/rusak/United_States_003842.jpg,rusak,rusak,1,1
3586,./test/rusak/R_8180.jpeg,rusak,rusak,1,1
1332,./test/rusak/China_Drone_000654.jpg,rusak,rusak,1,1
3538,./test/rusak/P_25920.jpeg,rusak,rusak,1,1
3721,./test/rusak/United_States_001308.jpg,rusak,rusak,1,1
3215,./test/rusak/M_3020.jpeg,rusak,rusak,1,1
1762,./test/rusak/Czech_001946.jpg,rusak,rusak,1,1
352,./test/normal/India_004885.jpg,normal,rusak,0,1
2650,./test/rusak/Japan_005612.jpg,rusak,rusak,1,1
1826,./test/rusak/C_4830.jpeg,rusak,rusak,1,1
1999,./test/rusak/India_003370.jpg,rusak,rusak,1,1
2284,./test/rusak/Japan_000312.jpg,rusak,rusak,1,1
2509,./test/rusak/Japan_003712.jpg,rusak,rusak,1,1
2962,./test/rusak/Japan_010050.jpg,rusak,rusak,1,1
452,./test/normal/India_007157.jpg,normal,rusak,0,1
1728,./test/rusak/Czech_000660.jpg,rusak,normal,1,0
3568,./test/rusak/Q_11930.jpeg,rusak,rusak,1,1
2620,./test/rusak/Japan_005189.jpg,rusak,rusak,1,1
3185,./test/rusak/Japan_013120.jpg,rusak,rusak,1,1
485,./test/normal/India_008242.jpg,normal,rusak,0,1
2166,./test/rusak/India_007736.jpg,rusak,rusak,1,1
2846,./test/rusak/Japan_008622.jpg,rusak,rusak,1,1
3707,./test/rusak/United_States_001170.jpg,rusak,rusak,1,1
2619,./test/rusak/Japan_005154.jpg,rusak,rusak,1,1
3946,./test/rusak/United_States_003694.jpg,rusak,rusak,1,1
1633,./test/rusak/China_MotorBike_001161.jpg,rusak,rusak,1,1
531,./test/normal/India_009166.jpg,normal,normal,0,0
